"Laikotarpis","Rodiklis","Statinių pagal tipą klasifikatorius (CC) (gyvenamieji pastatai, vieno ir dviejų butų pastatai)","Kambarių skaičius","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2019","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","60"
"2019","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","7.0"
"2019","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","7.0"
"2019","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","51"
"2019","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","51"
"2019","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","55"
"2019","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","55"
"2019","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","60"
"2019","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","22"
"2019","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","23"
"2019","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","22"
"2019","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","5.0"
"2019","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","3.3"
"2019","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","8.0"
"2019","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","8.0"
"2019","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","52"
"2019","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.",
"2019","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.","2"
"2019","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","4"
"2019","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","17"
"2019","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","16"
"2019","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","13"
"2018","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","54"
"2018","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","54"
"2018","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","7.6"
"2018","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","7.6"
"2018","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","53"
"2018","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","53"
"2018","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","53"
"2018","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","53"
"2018","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","16"
"2018","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","16"
"2018","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","15"
"2018","Pradėtų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","15"
"2018","Pradėtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","2.2"
"2018","Pradėtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","2.2"
"2018","Baigtų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","6.3"
"2018","Baigtų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","6.3"
"2018","Baigtų statyti būstų skaičius","","Iš viso pastatytų butų","Elektrėnų sav.","vnt.","38"
"2018","Baigtų statyti būstų skaičius","","1 kambario","Elektrėnų sav.","vnt.",
"2018","Baigtų statyti būstų skaičius","","2 kambarių","Elektrėnų sav.","vnt.",
"2018","Baigtų statyti būstų skaičius","","3 kambarių","Elektrėnų sav.","vnt.","2"
"2018","Baigtų statyti būstų skaičius","","4 kambarių","Elektrėnų sav.","vnt.","12"
"2018","Baigtų statyti būstų skaičius","","5 kambarių","Elektrėnų sav.","vnt.","9"
"2018","Baigtų statyti būstų skaičius","","6 ir daugiau kambarių","Elektrėnų sav.","vnt.","15"
"2017","Leistų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","52"
"2017","Leistų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","52"
"2017","Leistų statyti būstų naudingasis plotas","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","tūkst. m²","7.4"
"2017","Leistų statyti būstų naudingasis plotas","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","tūkst. m²","7.4"
"2017","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","50"
"2017","Naujų gyvenamųjų pastatų statybą leidžiančių dokumentų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","50"
"2017","Leistų statyti naujų gyvenamųjų pastatų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","50"
"2017","Leistų statyti naujų gyvenamųjų pastatų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","50"
"2017","Pradėtų statyti būstų skaičius","Gyvenamieji pastatai, iš viso","","Elektrėnų sav.","vnt.","37"
"2017","Pradėtų statyti būstų skaičius","Vieno ir dviejų būstų pastatai","","Elektrėnų sav.","vnt.","37"
